Mission        Instrument      Sensing Date                 ID                                                                      Download URL  
Sentinel-1B    SAR-C           2018-05-28T22:04:45.315Z     S1B_IW_SLC__1SDV_20180528T220445_20180528T220512_011127_014682_41FF     https://scihub.copernicus.eu/dhus/odata/v1/Products('5f312179-a540-409e-9f97-5291f3616ab4')/$value
Sentinel-1B    SAR-C           2018-06-09T22:04:46.187Z     S1B_IW_SLC__1SDV_20180609T220446_20180609T220513_011302_014C06_C56F     https://scihub.copernicus.eu/dhus/odata/v1/Products('b03be4d9-5aa5-4b4f-a78f-86f958fc4e81')/$value
Sentinel-1B    SAR-C           2018-07-10T21:56:18.841Z     S1B_IW_SLC__1SDV_20180710T215618_20180710T215649_011754_0159FF_E20B     https://scihub.copernicus.eu/dhus/odata/v1/Products('80d75037-78e2-4827-8322-f9ca14e663b4')/$value
Sentinel-1B    SAR-C           2018-07-15T22:04:48.266Z     S1B_IW_SLC__1SDV_20180715T220448_20180715T220515_011827_015C47_AFA6     https://scihub.copernicus.eu/dhus/odata/v1/Products('be7ea588-98a3-4717-8434-abe7379c6e25')/$value
Sentinel-1B    SAR-C           2018-08-20T22:04:45.966Z     S1B_IW_SLC__1SDV_20180820T220445_20180820T220512_012352_016C5A_F844     https://scihub.copernicus.eu/dhus/odata/v1/Products('3e49baf4-7ad9-46c4-aeda-e0420ade2e25')/$value
Sentinel-1B    SAR-C           2018-10-07T22:04:50.435Z     S1B_IW_SLC__1SDV_20181007T220450_20181007T220517_013052_0181D4_67B4     https://scihub.copernicus.eu/dhus/odata/v1/Products('d412a100-af90-441e-ba52-048c8934083a')/$value
Sentinel-1B    SAR-C           2019-04-12T21:56:20.500Z     S1B_IW_SLC__1SDV_20190412T215620_20190412T215651_015779_01D9E3_DCF9     https://scihub.copernicus.eu/dhus/odata/v1/Products('02b90950-fc59-44f6-ba94-0a8ee8158338')/$value
Sentinel-1B    SAR-C           2019-05-06T21:56:21.500Z     S1B_IW_SLC__1SDV_20190506T215621_20190506T215652_016129_01E58E_0BC4     https://scihub.copernicus.eu/dhus/odata/v1/Products('2dc5a9e5-11e2-42a5-806d-8e1ee2658056')/$value
Sentinel-1B    SAR-C           2019-06-04T22:04:52.087Z     S1B_IW_SLC__1SDV_20190604T220452_20190604T220519_016552_01F297_240D     https://scihub.copernicus.eu/dhus/odata/v1/Products('2c8cba71-b01b-47e3-a1fd-5c5efb83ff07')/$value
Sentinel-1B    SAR-C           2019-06-16T22:04:52.833Z     S1B_IW_SLC__1SDV_20190616T220452_20190616T220519_016727_01F7C6_08A1     https://scihub.copernicus.eu/dhus/odata/v1/Products('f1d54524-e409-46f9-8368-8958bea557a1')/$value
Sentinel-1B    SAR-C           2019-09-08T22:04:57.743Z     S1B_IW_SLC__1SDV_20190908T220457_20190908T220524_017952_021CBE_2DDB     https://scihub.copernicus.eu/dhus/odata/v1/Products('6df758cf-5194-4a3e-90c8-80f6e5aa4a3e')/$value
Sentinel-1B    SAR-C           2019-10-21T09:55:43.279Z     S1B_IW_SLC__1SDV_20191021T095543_20191021T095611_018572_022FDE_B785     https://scihub.copernicus.eu/dhus/odata/v1/Products('fe2897b4-d7c1-4c67-bd87-951fe81cc9fc')/$value
Sentinel-1B    SAR-C           2019-10-26T22:04:58.580Z     S1B_IW_SLC__1SDV_20191026T220458_20191026T220525_018652_023269_EC76     https://scihub.copernicus.eu/dhus/odata/v1/Products('d7542085-4393-446e-966f-9320c9c7364a')/$value
Sentinel-1B    SAR-C           2019-11-02T09:55:43.054Z     S1B_IW_SLC__1SDV_20191102T095543_20191102T095610_018747_02355C_362B     https://scihub.copernicus.eu/dhus/odata/v1/Products('951aa331-7248-4ef3-874a-eb33eb97493f')/$value
Sentinel-1B    SAR-C           2020-01-13T09:55:40.738Z     S1B_IW_SLC__1SDV_20200113T095540_20200113T095608_019797_0256E3_FC5E     https://scihub.copernicus.eu/dhus/odata/v1/Products('9f610320-4664-45dc-aacf-3cb6d0818dba')/$value
Sentinel-1B    SAR-C           2020-02-23T22:04:55.071Z     S1B_IW_SLC__1SDV_20200223T220455_20200223T220522_020402_026A76_EA35     https://scihub.copernicus.eu/dhus/odata/v1/Products('866d7964-c981-44c1-a72e-0ea4a1b1b951')/$value
Sentinel-1B    SAR-C           2020-03-30T22:04:55.463Z     S1B_IW_SLC__1SDV_20200330T220455_20200330T220522_020927_027B17_E5B0     https://scihub.copernicus.eu/dhus/odata/v1/Products('ea17ef5d-32cb-47fb-b8d8-1b3afa5d9e13')/$value
Sentinel-1B    SAR-C           2020-04-30T09:55:33.062Z     S1B_IW_SLC__1SDV_20200430T095533_20200430T095600_021372_028918_C487     https://scihub.copernicus.eu/dhus/odata/v1/Products('7b2b5107-6692-4890-823c-c7dc6c9bb8f6')/$value
Sentinel-1B    SAR-C           2020-06-22T22:04:59.627Z     S1B_IW_SLC__1SDV_20200622T220459_20200622T220526_022152_02A0B9_0A11     https://scihub.copernicus.eu/dhus/odata/v1/Products('635e82fe-ed2f-4e1c-9716-d84ee500168c')/$value
Sentinel-1B    SAR-C           2020-08-09T22:05:02.555Z     S1B_IW_SLC__1SDV_20200809T220502_20200809T220529_022852_02B615_EEF8     https://scihub.copernicus.eu/dhus/odata/v1/Products('131a46d8-2111-40f4-a176-90547e94c619')/$value
Sentinel-1B    SAR-C           2020-08-28T21:56:34.609Z     S1B_IW_SLC__1SDV_20200828T215634_20200828T215701_023129_02BEA7_B235     https://scihub.copernicus.eu/dhus/odata/v1/Products('0fa6f86f-2355-4889-bb22-bbee2c776f8c')/$value
Sentinel-1B    SAR-C           2020-09-14T22:05:04.308Z     S1B_IW_SLC__1SDV_20200914T220504_20200914T220531_023377_02C67D_C1F5     https://scihub.copernicus.eu/dhus/odata/v1/Products('38a82745-adfa-43a1-ad31-cb561af819b4')/$value
Sentinel-1B    SAR-C           2020-10-15T21:56:35.734Z     S1B_IW_SLC__1SDV_20201015T215635_20201015T215706_023829_02D48B_35CA     https://scihub.copernicus.eu/dhus/odata/v1/Products('28f0e626-66a1-4faf-ac81-96e68902e65d')/$value
Sentinel-1B    SAR-C           2020-10-20T22:05:04.664Z     S1B_IW_SLC__1SDV_20201020T220504_20201020T220531_023902_02D6DF_D44E     https://scihub.copernicus.eu/dhus/odata/v1/Products('74dd7c24-6901-41c2-bc5a-c8d26fd20259')/$value
Sentinel-1B    SAR-C           2020-12-19T22:05:03.378Z     S1B_IW_SLC__1SDV_20201219T220503_20201219T220530_024777_02F296_1D19     https://scihub.copernicus.eu/dhus/odata/v1/Products('0d08dbf5-7205-42d7-9520-c640b7375141')/$value
Sentinel-1B    SAR-C           2021-01-24T22:05:01.793Z     S1B_IW_SLC__1SDV_20210124T220501_20210124T220528_025302_030368_ECEC     https://scihub.copernicus.eu/dhus/odata/v1/Products('25b85258-de75-4e6c-b941-3865179edf99')/$value
Sentinel-1B    SAR-C           2021-05-24T22:05:03.746Z     S1B_IW_SLC__1SDV_20210524T220503_20210524T220530_027052_033B69_6933     https://scihub.copernicus.eu/dhus/odata/v1/Products('9ca840b7-7474-45e1-9857-79e16663cd7a')/$value
